code,name,name_kana,prefecture_code
"01101","札幌市中央区","サッポロシチュウオウク","01"
"01102","札幌市北区","サッポロシキタク","01"
"01103","札幌市東区","サッポロシヒガシク","01"
"01104","札幌市白石区","サッポロシシロイシク","01"
"01105","札幌市豊平区","サッポロシトヨヒラク","01"
"01106","札幌市南区","サッポロシミナミク","01"
"01107","札幌市西区","サッポロシニシク","01"
"01108","札幌市厚別区","サッポロシアツベツク","01"
"01109","札幌市手稲区","サッポロシテイネク","01"
"01110","札幌市清田区","サッポロシキヨタク","01"
"01202","函館市","ハコダテシ","01"
"01203","小樽市","オタルシ","01"
"01204","旭川市","アサヒカワシ","01"
"01205","室蘭市","ムロランシ","01"
"01206","釧路市","クシロシ","01"
"01207","帯広市","オビヒロシ","01"
"01208","北見市","キタミシ","01"
"01209","夕張市","ユウバリシ","01"
"01210","岩見沢市","イワミザワシ","01"
"01211","網走市","アバシリシ","01"
"01212","留萌市","ルモイシ","01"
"01213","苫小牧市","トマコマイシ","01"
"01214","稚内市","ワッカナイシ","01"
"01215","美唄市","ビバイシ","01"
"01216","芦別市","アシベツシ","01"
"01217","江別市","エベツシ","01"
"01218","赤平市","アカビラシ","01"
"01219","紋別市","モンベツシ","01"
"01220","士別市","シベツシ","01"
"01221","名寄市","ナヨロシ","01"
"01222","三笠市","ミカサシ","01"
"01223","根室市","ネムロシ","01"
"01224","千歳市","チトセシ","01"
"01225","滝川市","タキカワシ","01"
"01226","砂川市","スナガワシ","01"
"01227","歌志内市","ウタシナイシ","01"
"01228","深川市","フカガワシ","01"
"01229","富良野市","フラノシ","01"
"01230","登別市","ノボリベツシ","01"
"01231","恵庭市","エニワシ","01"
"01233","伊達市","ダテシ","01"
"01234","北広島市","キタヒロシマシ","01"
"01235","石狩市","イシカリシ","01"
"01236","北斗市","ホクトシ","01"
"01303","石狩郡当別町","イシカリグントウベツチョウ","01"
"01304","石狩郡新篠津村","イシカリグンシンシノツムラ","01"
"01331","松前郡松前町","マツマエグンマツマエチョウ","01"
"01332","松前郡福島町","マツマエグンフクシマチョウ","01"
"01333","上磯郡知内町","カミイソグンシリウチチョウ","01"
"01334","上磯郡木古内町","カミイソグンキコナイチョウ","01"
"01337","亀田郡七飯町","カメダグンナナエチョウ","01"
"01343","茅部郡鹿部町","カヤベグンシカベチョウ","01"
"01345","茅部郡森町","カヤベグンモリマチ","01"
"01346","二海郡八雲町","フタミグンヤクモチョウ","01"
"01347","山越郡長万部町","ヤマコシグンオシャマンベチョウ","01"
"01361","檜山郡江差町","ヒヤマグンエサシチョウ","01"
"01362","檜山郡上ノ国町","ヒヤマグンカミノクニチョウ","01"
